#,Tên Module,Các file xử lý chính,Trạng thái Code,Ghi chú kiến trúc / Pattern / Thư viện
I,[ADMIN CMS],,,
1,Xác thực Admin,"AccountController.cs, Program.cs, AdminUser.cs",🟢 Đã có logic core,"Dùng cơ chế Cookie Auth kết hợp PasswordHasher<AdminUser>. Có logic tự động seed/khôi phục admin khởi tạo trong Program.cs."
2,Dashboard tổng quan,"HomeController.cs, Views/Home/Index.cshtml",🟢 Đã có logic core,"Thống kê thực từ DB (_context.CountAsync): Tổng POI, Tổng Plays, Top POI, Lịch sử 10 bản ghi gần nhất."
3,Quản lý POI (CRUD),"PoisController.cs, Views/Pois/*.cshtml, AdminDbContext.cs",🟢 Đã có logic core,"Dùng Entity Framework Core + SQLite. Lược đồ database dạng ""flat"" (lưu chung các cột TitleVi, TitleEn trên cùng 1 bảng thay vì chia bảng quan hệ 1-N)."
4,Upload media POI,"PoisController.cs, wwwroot/uploads/*",🟢 Đã có logic core,"Xử lý upload ảnh và MP3 lưu trực tiếp trên thư mục server (wwwroot/uploads). Chưa validate dung lượng (2MB/5MB)."
5,AI dịch + tạo TTS,"AITranslationService.cs, PoisController.cs",🟢 Đã có logic core,"Tích hợp AI tự động dịch sang 5 ngôn ngữ còn lại khi ấn tạo POI và generate sẵn file audio TTS."
6,Quản lý Tour,"ToursController.cs, Api/ToursController.cs",🟢 Đã có logic core,"Đã có Entity Tour và TourPoiMappings để nhóm tuyến đường. Controller cung cấp CRUD MVC đầy đủ."
7,Quản lý người dùng,"UsersController.cs, MobileUser.cs",🟢 Đã có logic core,"Sử dụng ASP.NET Identity Roles. Đã xây dựng List user, gán Role (Guest/User/Premium), toggle active/inactive, và reset password."
8,Quản lý mã QR,"QrController.cs, Api/QrController.cs",🟢 Đã có logic core,"Tạo hệ thống deep-link 	ourmap://poi/{id}. Build file ảnh QR lưu lại làm hình thức kích hoạt POSM."
9,Analytics & Báo cáo,"AnalyticsController.cs, Views/Analytics/Index.cshtml, PlaybackHistoryEntry.cs",🟢 Đã có logic core,"Đã tích hợp Chart.js (Line/Doughnut) và Leaflet.heat (Heatmap), binding dữ liệu trực tiếp từ AnalyticsDashboardViewModel."
II,[MOBILE APP],,,
10,Onboarding & chọn ngôn ngữ,"MainPage.xaml.cs, SplashPage.cs",🟢 Đã có logic core,"Delay 600ms ở Splash, check state bằng Preferences (onboarding_completed), xin quyền truy cập vị trí tại Runtime (API 31+)."
11,Xác thực user (Login/Guest),"LoginPage.cs, RegisterPage.cs, AuthService.cs",🟢 Đã có logic core,"Dùng JWT Bearer Token + Refresh Token luân chuyển lưu ở SecureStorage. DI Container quản lý AppShell. Có chế độ ẩn danh (Guest)."
12,Bản đồ GPS (Mapsui),"MapPage.xaml.cs, TourRuntimeService.cs",🟢 Đã có logic core,"Tích hợp Mapsui.Maui 5.0.2. MapPage nhận event LocationUpdated relay từ TourRuntimeService (bảo vệ memory leak do trực tiếp gọi GPS)."
13,Geofence — Tự phát audio,"GeofenceEngine.cs, GpsTrackingService_Android.cs",🟢 Đã có logic core,"Dùng thuật toán Haversine. Có lock luồng an toàn (Thread-safe), cơ chế Debounce 30s và Cooldown 10 phút, ưu tiên POI thông minh."
14,Duyệt & tìm kiếm POI,"PoiListPage.xaml.cs, MapPage.xaml.cs",🟢 Đã có logic core,"Có Popup tìm kiếm realtime trên map. Code-behind còn khá nặng (cần refactor qua CommunityToolkit.Mvvm ở tương lai)."
15,Phát audio đa ngôn ngữ,"NarrationEngine.cs, AudioPlayerService.cs, TtsService_Android.cs",🟢 Đã có logic core,"Sử dụng State Machine (Idle -> Playing -> Cooldown). Hỗ trợ Cancellable task, Fallback: MP3 -> DB TTS -> Sinh TTS Local."
16,Quét mã QR,QrScannerPage.cs,🟢 Đã có logic core,"Tích hợp Camera truy xuất trực tiếp để mở nhanh nội dung POI. (Cần bổ sung validate GUID)."
17,Quản lý Offline (Download),OfflinePacksPage.cs,🟡 Có UI + Nửa Logic,"UI chi tiết (dung lượng, mạng). Xóa gói offline đã chạy thật, nhưng luồng Download đang mock giả lập bằng logic Random."
18,Hồ sơ cá nhân & Gamification,ProfilePage.cs,🟡 Chỉ có UI rỗng,"Đã render giao diện Badges, Stamps, E-Passport rất đẹp nhưng dữ liệu bind đang dùng dummy data (Preferences local)."
19,Cài đặt ứng dụng,SettingsPage.cs,🟢 Đã có logic core,"Cho phép chọn Auto-play, khóa màn hình, và thay đổi ngôn ngữ global lưu trữ qua Preferences."
20,Đồng bộ dữ liệu (Sync),"SyncService.cs, DatabaseService.cs, MainPage.xaml.cs",🟢 Đã có logic core,"Dùng IHttpClientFactory với HTTP request message thread-safe. Database SQLite dùng SemaphoreSlim để tránh lỗi khóa DB (busy/locked)."
21,Hỗ trợ đa ngôn ngữ,LocalizationService.cs,🟢 Đã có logic core,"Triển khai pattern Singleton + INotifyPropertyChanged. Dùng Dictionary thay cho file .resx, bắt event đổi realtime toàn app."
